target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year,is_projected,is_projection_analysis
VickMi00,Michael Vick,TrubMi00,Mitchell Trubisky,comp,44.0,44.0,4,3,2020,2017,2274.2651713440387,6.0480856319473055,16.41281107019305,67.61478114991735,False,,False,False
VickMi00,Michael Vick,MannEl00,Eli Manning,comp,27.0,27.0,4,0,2004,2004,1138.7491686625751,3.342889103127569,6.863094497399268,71.11225927220427,False,,False,False
VickMi00,Michael Vick,MannEl00,Eli Manning,comp,27.0,27.0,4,1,2005,2004,4047.1070376626058,5.850962365591397,27.25633802816905,48.05295250572516,False,,False,False
VickMi00,Michael Vick,MannEl00,Eli Manning,comp,27.0,27.0,4,2,2006,2004,3429.6670625227634,5.175154039477027,27.06307809318188,32.75098967958469,False,,False,False
VickMi00,Michael Vick,MannEl00,Eli Manning,comp,27.0,27.0,4,3,2007,2004,3566.734228582613,4.988562813503916,25.75285032157472,50.69239929706181,False,,False,False
VickMi00,Michael Vick,SancMa00,Mark Sanchez,comp,40.0,40.0,4,0,2009,2009,2656.278938567801,4.195074371351595,13.24969970691394,74.99981645912615,True,2012.0,False,False
VickMi00,Michael Vick,SancMa00,Mark Sanchez,comp,40.0,40.0,4,1,2010,2009,3527.7366020661298,5.533994118470803,18.64098771322917,50.49360316776902,True,2012.0,False,False
VickMi00,Michael Vick,SancMa00,Mark Sanchez,comp,40.0,40.0,4,2,2011,2009,3705.490594362659,5.183949633853207,28.31451995071556,53.5300151067356,True,2012.0,False,False
VickMi00,Michael Vick,SancMa00,Mark Sanchez,comp,40.0,40.0,4,3,2012,2009,3007.257398162935,4.466534266826589,14.060974748782163,33.217005332086,True,2012.0,False,False
VickMi00,Michael Vick,VickMi00,Michael Vick,target,,,4,0,2001,2001,1144.1956842620957,4.516473693220725,2.338149259805669,97.93788449097768,True,2004.0,False,False
VickMi00,Michael Vick,VickMi00,Michael Vick,target,,,4,1,2002,2001,3944.469375493284,6.201164830158594,18.568694290836547,78.85065008378227,True,2004.0,False,False
VickMi00,Michael Vick,VickMi00,Michael Vick,target,,,4,2,2003,2001,889.8443105582928,4.466430641586634,4.608543066278958,83.54287704352367,True,2004.0,False,False
VickMi00,Michael Vick,VickMi00,Michael Vick,target,,,4,3,2004,2001,3396.1767878016503,5.071610570788556,16.01388716059829,82.91689431139018,True,2004.0,False,False
VickMi00,Michael Vick,JoneDa05,Daniel Jones,comp,18.0,,4,0,2019,2019,3350.687514724299,5.434004180188107,24.77904573636447,72.04747825629083,True,2023.0,False,False
VickMi00,Michael Vick,JoneDa05,Daniel Jones,comp,18.0,,4,1,2020,2019,3402.3006963306816,4.95943021819679,11.283807610757725,47.41539684412443,True,2023.0,False,False
VickMi00,Michael Vick,JoneDa05,Daniel Jones,comp,18.0,,4,2,2021,2019,2747.989665361529,5.653712610934591,10.192265046347638,50.655854794272805,True,2023.0,False,False
VickMi00,Michael Vick,JoneDa05,Daniel Jones,comp,18.0,,4,3,2022,2019,3933.9867485377777,5.913507831934611,15.191040698058742,61.01134352389427,True,2023.0,False,False
VickMi00,Michael Vick,FlacJo00,Joe Flacco,comp,10.0,,4,0,2008,2008,3291.4728961341957,5.463759667032255,15.566054624186574,45.37758966384241,True,2013.0,False,False
VickMi00,Michael Vick,FlacJo00,Joe Flacco,comp,10.0,,4,1,2009,2008,3821.91663749226,6.30807251908397,23.186974487099395,40.3944122953098,True,2013.0,False,False
VickMi00,Michael Vick,FlacJo00,Joe Flacco,comp,10.0,,4,2,2010,2008,3849.762028049787,6.572903794986696,27.41321722533701,38.12267039166561,True,2013.0,False,False
VickMi00,Michael Vick,FlacJo00,Joe Flacco,comp,10.0,,4,3,2011,2008,3830.837075189576,5.851190675834313,21.780399962088893,44.48443385027333,True,2013.0,False,False
VickMi00,Michael Vick,YounVi00,Vince Young,comp,49.0,,4,0,2006,2006,2889.7439782542488,4.68771468104933,13.53153904659094,62.49980530520745,False,,False,False
VickMi00,Michael Vick,YounVi00,Vince Young,comp,49.0,,4,1,2007,2006,3080.6946743792846,4.584923913656088,10.077202299746627,56.04252059490475,False,,False,False
VickMi00,Michael Vick,YounVi00,Vince Young,comp,49.0,,4,2,2008,2006,256.96678275119393,3.604635394696138,1.1118610445847552,32.78727576867226,False,,False,False
VickMi00,Michael Vick,YounVi00,Vince Young,comp,49.0,,4,3,2009,2006,2250.024512669196,6.648213684328694,11.041416422428282,58.533304440655925,False,,False,False
VickMi00,Michael Vick,DarnSa00,Sam Darnold,comp,8.0,8.0,4,0,2018,2018,3051.8422431192357,5.303245611617845,17.666515929183518,42.3740863839048,False,,False,False
VickMi00,Michael Vick,DarnSa00,Sam Darnold,comp,8.0,8.0,4,1,2019,2018,3127.71375391385,5.555208734393046,19.61674454128854,29.488697996952617,False,,False,False
VickMi00,Michael Vick,DarnSa00,Sam Darnold,comp,8.0,8.0,4,2,2020,2018,2451.152462448575,4.193339371483465,9.23220622698359,63.2559666418252,False,,False,False
VickMi00,Michael Vick,DarnSa00,Sam Darnold,comp,8.0,8.0,4,3,2021,2018,2771.175198121366,4.376094280705599,9.173038541712874,63.21515763582805,False,,False,False
VickMi00,Michael Vick,JackLa00,Lamar Jackson,comp,17.0,,4,0,2018,2018,1926.8374601911655,6.062297941524979,6.235240916182418,55.98648719116955,True,2023.0,False,False
VickMi00,Michael Vick,JackLa00,Lamar Jackson,comp,17.0,,4,1,2019,2018,4391.569570871261,8.2722108244871,37.16856860454671,62.649981092426806,True,2023.0,False,False
VickMi00,Michael Vick,JackLa00,Lamar Jackson,comp,17.0,,4,2,2020,2018,3802.571366487232,6.753695622341158,26.670817989063707,54.857275272574455,True,2023.0,False,False
VickMi00,Michael Vick,JackLa00,Lamar Jackson,comp,17.0,,4,3,2021,2018,3678.435175680198,5.814672400569739,16.30762407415622,59.02872335530964,True,2023.0,False,False
VickMi00,Michael Vick,GrosRe00,Rex Grossman,comp,,14.0,4,0,2003,2003,461.871570718352,5.363891004148434,2.304271533139479,0.0,False,,False,False
VickMi00,Michael Vick,GrosRe00,Rex Grossman,comp,,14.0,4,1,2004,2003,691.9116006252196,5.49858394533133,1.143849082899878,77.51236260670265,False,,False,False
VickMi00,Michael Vick,GrosRe00,Rex Grossman,comp,,14.0,4,2,2005,2003,272.82684090437664,4.676612903225806,1.1356807511737106,,False,,False,False
VickMi00,Michael Vick,GrosRe00,Rex Grossman,comp,,14.0,4,3,2006,2003,3356.136681396701,5.403317143421906,25.935449839299302,22.789230318711013,False,,False,False
